0.00.293.926 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.294.175 W srv  llama_server: -----------------
0.00.294.177 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.294.177 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.294.177 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.294.177 W srv  llama_server: -----------------
0.00.295.413 I srv    load_model: loading model '/home/ryanneely1000/models/flash-next-udq3/Qwen3.8-Flash-Next-UD-Q3_K_XL-00001-of-00003.gguf'
0.01.162.649 E llama_init_from_model: failed to initialize the context: qwen4exp requires ctx_other to be set (this warning is normal during memory fitting)
0.01.221.755 W operator(): failed to measure the memory of the extra model, fitting without it: failed to create llama_context from model
0.10.511.326 I cmn          init: llama threadpool init, n_threads = 20
0.10.625.449 I common_speculative_init_result: loading draft model '/home/ryanneely1000/models/flash-next-udq3/mtp-Qwen3.8-Flash-Next-shared-Q8_0.gguf'
0.11.219.647 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.11.275.507 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.11.275.537 I srv  llama_server: model loaded
0.11.275.540 I srv  llama_server: listening on http://0.0.0.0:8898
0.33.585.212 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.33.585.304 I slot launch_slot_: id  3 | task 1 | processing task, is_child = 0
0.34.147.275 I slot print_timing: id  3 | task 1 | prompt eval time =     396.66 ms /    19 tokens (   20.88 ms per token,    47.90 tokens per second)
0.34.147.280 I slot print_timing: id  3 | task 1 |        eval time =     165.17 ms /     2 tokens (  165.17 ms per token,     6.05 tokens per second)
0.34.147.280 I slot print_timing: id  3 | task 1 |       total time =     561.83 ms /    21 tokens
0.34.147.283 I slot print_timing: id  3 | task 1 |    graphs reused =          1
0.34.147.285 I slot print_timing: id  3 | task 1 | draft acceptance = 1.00000 (    4 accepted /     4 generated), mean len =  5.00
0.34.147.319 I slot      release: id  3 | task 1 | stop processing: n_tokens = 24, truncated = 0
0.34.349.111 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.792
0.34.349.182 I slot launch_slot_: id  3 | task 5 | processing task, is_child = 0
0.34.524.738 I slot print_timing: id  3 | task 5 | prompt eval time =      91.58 ms /     4 tokens (   22.89 ms per token,    43.68 tokens per second)
0.34.524.741 I slot print_timing: id  3 | task 5 |        eval time =      83.86 ms /     2 tokens (   83.86 ms per token,    11.92 tokens per second)
0.34.524.741 I slot print_timing: id  3 | task 5 |       total time =     175.44 ms /     6 tokens
0.34.524.742 I slot print_timing: id  3 | task 5 |    graphs reused =          1
0.34.524.744 I slot print_timing: id  3 | task 5 | draft acceptance = 1.00000 (    4 accepted /     4 generated), mean len =  5.00
0.34.524.766 I slot      release: id  3 | task 5 | stop processing: n_tokens = 24, truncated = 0
0.34.781.447 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.792
0.34.781.522 I slot launch_slot_: id  3 | task 8 | processing task, is_child = 0
0.34.973.935 I slot print_timing: id  3 | task 8 | prompt eval time =     110.09 ms /     4 tokens (   27.52 ms per token,    36.33 tokens per second)
0.34.973.938 I slot print_timing: id  3 | task 8 |        eval time =      82.20 ms /     2 tokens (   82.20 ms per token,    12.17 tokens per second)
0.34.973.938 I slot print_timing: id  3 | task 8 |       total time =     192.29 ms /     6 tokens
0.34.973.939 I slot print_timing: id  3 | task 8 |    graphs reused =          1
0.34.973.941 I slot print_timing: id  3 | task 8 | draft acceptance = 1.00000 (    4 accepted /     4 generated), mean len =  5.00
0.34.973.963 I slot      release: id  3 | task 8 | stop processing: n_tokens = 24, truncated = 0
0.35.193.734 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.792
0.35.193.805 I slot launch_slot_: id  3 | task 11 | processing task, is_child = 0
0.35.385.459 I slot print_timing: id  3 | task 11 | prompt eval time =     109.82 ms /     4 tokens (   27.45 ms per token,    36.42 tokens per second)
0.35.385.462 I slot print_timing: id  3 | task 11 |        eval time =      81.72 ms /     2 tokens (   81.72 ms per token,    12.24 tokens per second)
